Anime,Recommendation,Reasoning,Recommendation Power
Lingerie Senshi Papillon Rose,['Dengeki Oshioki Musume Gootaman: Gootaman Tanjou-hen'],"['Both are magical girl parody shows with R+ grade (upper range) ecchi and seriously weird fetishes. The backstories in both are hair-raising nonsense, yet take themselves serious enough to not become random humor. Lingerie Senshi serves multiple fetishes and has the raunchier humor, while Butt Attack Girl focuses on the titular part of the body. Both are trash shows and know it, in my taste Lingeri Senshi is slightly superior due to the more zany humor. Lingerie Senshi has a few more magical girl elements (e.g. a cat familiar), where Gootaman is a little closer to super hero plots.']",[1]
Dominion,['Kidou Keisatsu Patlabor'],"['A mechanized (Patlabor: Humanoid mechas, Dominion: Tanks) special police unit fighting crime. There are more similarities than you can shake a stick at. MC is a red head tomboy who loves mechanical engineering, slapstick humor, comedy based on slapstick and the good guys doing more damage than the villains. Many side character designs are also similar. \r\n\r\nThe differences are: Dominion is even less serious and has more daring jokes (e.g. torture as slapstick scene, twice!), sexy catgirls, less realistic action and fights leaning towards cartoonish.']",[1]
Coo: Tooi Umi kara Kita Coo,['B.B. Fish'],"[""Both are '90s anime set in a tropical island location with lush colours, people with tans, nicely-animated water, etc.""]",[1]
Mouryou Senki Madara,['Landlock'],['Similar OVA setup of an evil empire versus innocent rural villages and their boy hero. Same blend of JRPG fantasy designs with cyberpunk-esque technology/robots. Roughly the same level of quality though I believe Madara edges out Landlock.'],[1]
Hadashi no Gen,['Ushiro no Shoumen Daare'],"['Both tell stories of childhood during WW2. Both MCs are ~ 10 y/o chidren, in Ushiro a girl and in Gen a boy, whose families are in the middle of a cataclysmic envent (Tokyo firebombing in Ushiro, nuclear bomb on Hiroshima in Ken). In both, for the first half of the movie regular 1940s family life in Japan is shown. In Ushiro, it reaches pretty much slice of life grade. Both movies end on a high note and a ""life must go on"" message after the end of the war and horrific consequences for both kids\' families.\r\n\r\nA key difference is that in Gen death and destruction happens on screen, whereas in Ushiro MC at no point is personally in the middle of war atrocities. This narrative stryle makes it more similar to Kono Sekai no Katasumi ni than to Gen, but the depiction of family life and MCs age is more similar with Gen.']",[1]
Neo Ranga,['Ariel Visual'],"[""Both follow trios of girls who are related to each other, as their lives are changed by the sudden introduction of the series titular mechas (if you can count Neo Ranga himself as a mecha). Ranga is often more serious but not without it's lighthearted moments, while Ariel is more laid back overall. Ranga is however much more fleshed out, as Ariel feels more like an extended promo for the novels or a failed pilot episode""]",[1]
Ushiro no Shoumen Daare,['Kono Sekai no Katasumi ni'],"['Both are unagitated anti-war tragedies from the POV of a young girl. Violence and death only happens off-screen, the focus remains on their ordinary life which is increasingly influenced by indirect consequences of the war. Both blend blend of slice of life, history, and tragedy. The protagonist in ""Who\'s Left Behind?"" is younger (age 6-11 covered) than in ""Corner of the World"" (Older teen to young adult), yet their life within the family and overall biography is similar. These two movies are more similar than the other two big anti-war movies, Grave of the Fireflies and Barefoot Ken. The latter comes in 2nd closest.']",[1]
Skip Beat!,['Carole & Tuesday'],"[""Both stories involve a single girl or a group of girls that gain experience in the world of show business, learning about the ins and outs of it while slowly becoming more and more famous. Skip Beat, however, has romance, while Carole and Tuesday has more of a science fiction element. If you like hearing about celebrities, idols, and show business overall, you'll like either anime, because both feature characters who are thrown into the limelight!""]",[1]
ChäoS;HEAd,['Bungou Stray Dogs'],"['Protagonist with a unique condition caught in various harrowing circumstances, finds himself in certain horror-esque scenarios and makes crazy fearful eye expressions.']",[1]
Boogiepop wa Warawanai (2019),"['Id:Invaded', 'Kyokou Suiri']","['They both center around trying to solve something, but in this show they solve paranormal things.', ""Both anime are supernatural mysteries aimed at a mature audience (meaning those who are fine with exposition in lieu of constant action.)  Both feature strong female leads.  Boogiepop is supernatural, but not based on Japanese youkai (as far as I can tell.)  FYI the first arc of Boogiepop is a tad confusing (nonlinear storytelling) so be willing to keep going into the second arc even if the first isn't quite your cup of tea.""]","[1, 1]"
Kiniro Mosaic,['Slow Start'],"['There are many cute girls as main characters in both of these titles.\r\nI think that there is ""CGDCT"" subgenre as well.\r\nThese shows can make you feel relaxed due to cute scenes, light yuri jokes and simple comedy.']",[1]
Kamigami no Asobi,['Magic-Kyun! Renaissance'],['Both series are reverse harems involving a girl who helps a group of her fellow male classmates who also gain feelings for her along the way. Kusanagi must teach the young gods about humanity and Kanaka helps the boys from Magic-Kyun! Renaissance find themselves.'],[1]
Shiki Specials,['Another'],"['The two specials of Shiki are unaried episodes that go to further the shows climax and expand a little more on the series. So, if your a big fan of blood and gore as a great mystery is finally revealed, you will enjoy Another just as much as these two specials.']",[1]
Hime Chen! Otogi Chikku Idol Lilpri,['PriPara'],['Both are super cute idol shows with a fun cast of friends and costume changes.'],[1]
Inazuma Eleven,['Gaist Crusher'],"[""Both are part of a cross-media franchise and meant to promote their videogame counterpart. Meant mainly for kids, they're essentially spoofs from older series, borrowing a lot from their aesthetics, special attacks, transformations while also trying to bring a breath of fresh air on the genre. \r\nThey're fairly linear and their characters one dimensional ar best but have this broad appeal that could make them enjoyable for different generations of viewers.""]",[1]
Kyoto Teramachi Sanjou no Holmes,['Housekishou Richard-shi no Nazo Kantei'],"['Similarities:\r\n\r\n1. same ""case file"" thing that involves things with value.\r\n\r\n2. Same situation where it involves one genius at the helm and one  that takes some errrr......... an apprentice that needs some improvements. \r\n\r\n3. Same, mystery and slice of life genre, with some rather subtle romance on the sides....\r\n\r\nDissimilarities: \r\n\r\n1. One was more on the value of Antiques while the other is more on the precious stone business.\r\n\r\n2. Genius MC in one anime got his start by being a scum himself, before going legit, while the genius MC in another anime got his start from working in the antique shop and doing countless research while studying in a prestigious university.\r\n\r\n3. Romance element in one anime was more like a yaoi kinda thing while in the other was more of just the usual.']",[1]
